API_Name,Category,Followers,
Driving-Distances API,Tools,7,
Bitfinex API,Financial,101,
Live Scoreboards API,Sports,239,
Guild Wars 2 API,Games,33,
BOT libre! API,hat,32,
OECD Open Data API,Reference,28,
Macy&#039,s Shopping Bag Services API,mmerce,6
Macy&#039,s Protected Services API,mmerce,2
Macy&#039,s Mobile Utility Services API,mmerce,3
Macy&#039,s Ad Media Services API,mmerce,3
Your Mapper CrimeScore API,Mapping,45,
USPS Package Services API,Shipping,10,
Driving-Distances API,Tools,7,
Bitfinex API,Financial,101,
Live Scoreboards API,Sports,239,
Guild Wars 2 API,Games,33,
BOT libre! API,hat,32,
OECD Open Data API,Reference,28,
Macy&#039,s Shopping Bag Services API,mmerce,6
Macy&#039,s Protected Services API,mmerce,2
Macy&#039,s Mobile Utility Services API,mmerce,3
Macy&#039,s Ad Media Services API,mmerce,3
Your Mapper CrimeScore API,Mapping,45,
USPS Package Services API,Shipping,10,
Driving-Distances API,Tools,7,
Bitfinex API,Financial,101,
Live Scoreboards API,Sports,239,
Guild Wars 2 API,Games,33,
BOT libre! API,hat,32,
OECD Open Data API,Reference,28,
Macy&#039,s Shopping Bag Services API,mmerce,6
Macy&#039,s Protected Services API,mmerce,2
Macy&#039,s Mobile Utility Services API,mmerce,3
Macy&#039,s Ad Media Services API,mmerce,3
Your Mapper CrimeScore API,Mapping,45,
Vine API,Video,105,
PaymentSpring API,Payments,3,
ProProfs Quiz Maker API,Education,54,
BitcoinAverage API,ptocurrency,14,
Dronestream API,Tools,23,
HackerEarth API,Tools,35,
Art Clinic API,Education,5,
USAJOBS API,Jobs,65,
Telize API,Mapping,9,
SupportFu API,Enterprise,3,
Thinknum API,Financial,14,
mcxNOW API,Financial,13,
Vine API,Video,105,
PaymentSpring API,Payments,3,
ProProfs Quiz Maker API,Education,54,
BitcoinAverage API,ptocurrency,14,
Dronestream API,Tools,23,
HackerEarth API,Tools,35,
Art Clinic API,Education,5,
USAJOBS API,Jobs,65,
Telize API,Mapping,9,
SupportFu API,Enterprise,3,
Thinknum API,Financial,14,
mcxNOW API,Financial,13,
Vine API,Video,105,
PaymentSpring API,Payments,3,
ProProfs Quiz Maker API,Education,54,
BitcoinAverage API,ptocurrency,14,
Dronestream API,Tools,23,
HackerEarth API,Tools,35,
Art Clinic API,Education,5,
USAJOBS API,Jobs,65,
Telize API,Mapping,9,
SupportFu API,Enterprise,3,
Thinknum API,Financial,14,
mcxNOW API,Financial,13,
Cryptsy API,Financial,16,
Ribbet API,Photos,11,
Human API,Science,26,
GovData API,Government,11,
AngularJS API,Backend,59,
Copy.com API,File Sharing,7,
Restricted Party Screening API,Enterprise,2,
Rapaport Diamond Manager API,Financial,11,
AniDB API,Entertainment,124,
The National Center for Biomedical Ontology BioPortal API,Science,6,
API2Cart API,mmerce,10,
Travel Booking Network API,Travel,29,
Cryptsy API,Financial,16,
Ribbet API,Photos,11,
Human API,Science,26,
GovData API,Government,11,
AngularJS API,Backend,59,
Copy.com API,File Sharing,7,
Restricted Party Screening API,Enterprise,2,
Rapaport Diamond Manager API,Financial,11,
AniDB API,Entertainment,124,
The National Center for Biomedical Ontology BioPortal API,Science,6,
API2Cart API,mmerce,10,
Travel Booking Network API,Travel,29,
123ContactForm API,Tools,20,
University of British Columbia Labs API,Science,4,
Vanilla Forums API,Social,5,
CircleCI API,Tools,5,
S&P Capital IQ API,Financial,36,
Call Tracking Metrics API,Telephony,9,
Property Solutions API,Real Estate,12,
Juno Download API,Music,20,
Design Skins API,mmerce,2,
GeoNB API,Mapping,4,
Errorception API,Testing,5,
Gimmie API,mmerce,3,
123ContactForm API,Tools,20,
University of British Columbia Labs API,Science,4,
Vanilla Forums API,Social,5,
CircleCI API,Tools,5,
S&P Capital IQ API,Financial,36,
Call Tracking Metrics API,Telephony,9,
Property Solutions API,Real Estate,12,
Juno Download API,Music,20,
Design Skins API,mmerce,2,
GeoNB API,Mapping,4,
Errorception API,Testing,5,
Gimmie API,mmerce,3,
UKMail API,Shipping,45,
123Cloud ECP API,Storage,15,
HP Labs Multimedia Analytic Platform API,Tools,3,
Wookmark API,Social,6,
Sendy API,Email,30,
Altmetric API,Education,8,
Maluuba Natural Language API,Telephony,12,
Field Nation API,Jobs,6,
A View From My Seat API,Photos,14,
Environmental Life Cycle Impact Assessment API,Weather,5,
SPEEDY Express Delivery Services API,Shipping,9,
OpenCNAM API,Telephony,11,
UKMail API,Shipping,45,
123Cloud ECP API,Storage,15,
HP Labs Multimedia Analytic Platform API,Tools,3,
Wookmark API,Social,6,
Sendy API,Email,30,
Altmetric API,Education,8,
Maluuba Natural Language API,Telephony,12,
Field Nation API,Jobs,6,
A View From My Seat API,Photos,14,
Environmental Life Cycle Impact Assessment API,Weather,5,
SPEEDY Express Delivery Services API,Shipping,9,
OpenCNAM API,Telephony,11,
UKMail API,Shipping,45,
123Cloud ECP API,Storage,15,
HP Labs Multimedia Analytic Platform API,Tools,3,
Wookmark API,Social,6,
Sendy API,Email,30,
Altmetric API,Education,8,
Maluuba Natural Language API,Telephony,12,
Field Nation API,Jobs,6,
A View From My Seat API,Photos,14,
Environmental Life Cycle Impact Assessment API,Weather,5,
SPEEDY Express Delivery Services API,Shipping,9,
OpenCNAM API,Telephony,11,
MNB Exchange Rate API,Financial,8,
Revel Systems API,mmerce,57,
IMDBAPI.org API,Entertainment,69,
LaunchBit API,Advertising,2,
Bitext API,Natural Language Processing,10,
App.net API,Social,12,
Paymentwall API,Tools,12,
Nephoscale API,Storage,2,
Unofficial Newegg API,Search,31,
Review Trackers API,Tools,17,
Unbounce API,Advertising,8,
yfrog API,Photos,5,
MNB Exchange Rate API,Financial,8,
Singly API,Social,21,
Climate Counts API,Other,9,
PerfectMoney API,Payments,163,
OpenSkyQuery SkyPortal API,Science,6,
Bitcoin Payflow API,Payments,6,
Worksnaps API,Project Management,10,
Bitrix24 API,Office,50,
Huffington Post Pollster API,News Services,22,
car2go API,Transportation,106,
MyNetDiary Food Search API,Medical,64,
Places.sg API,mmerce,3,
Trumpia API,Messaging,6,
Singly API,Social,21,
Climate Counts API,Other,9,
PerfectMoney API,Payments,163,
OpenSkyQuery SkyPortal API,Science,6,
Bitcoin Payflow API,Payments,6,
Worksnaps API,Project Management,10,
Bitrix24 API,Office,50,
Huffington Post Pollster API,News Services,22,
car2go API,Transportation,106,
MyNetDiary Food Search API,Medical,64,
Places.sg API,mmerce,3,
Trumpia API,Messaging,6,
Musicshake API,Music,11,
geoPlugin API,Mapping,21,
Autodesk Forge Design Automation API,Design,8,
Tweakker API,Telephony,15,
Gecko Landmarks API,Telephony,10,
Svpply API,mmerce,4,
DataDog API,Tools,8,
Hotelston API,Travel,30,
mydigitalstructure API,Backend,2,
Musicplayr API,Music,7,
BeThereNYC API,Events,16,
EVS iDrive API,Storage,7,
Musicshake API,Music,11,
geoPlugin API,Mapping,21,
Autodesk Forge Design Automation API,Design,8,
Tweakker API,Telephony,15,
Gecko Landmarks API,Telephony,10,
Svpply API,mmerce,4,
DataDog API,Tools,8,
Hotelston API,Travel,30,
mydigitalstructure API,Backend,2,
Musicplayr API,Music,7,
BeThereNYC API,Events,16,
EVS iDrive API,Storage,7,
Musicshake API,Music,11,
geoPlugin API,Mapping,21,
Autodesk Forge Design Automation API,Design,8,
Tweakker API,Telephony,15,
Gecko Landmarks API,Telephony,10,
Svpply API,mmerce,4,
DataDog API,Tools,8,
Hotelston API,Travel,30,
mydigitalstructure API,Backend,2,
Musicplayr API,Music,7,
BeThereNYC API,Events,16,
EVS iDrive API,Storage,7,
Healthfinder.gov API,Government,10,
GeoAdmin API,Mapping,12,
Grove.io API,hat,12,
Infogroup Infoconnect API,Database,8,
Coderwall Profile API,Social,5,
AppHarbor API,Applications,4,
PubNub API,Messaging,35,
Health 2.0 API,Medical,49,
National Weather Service NDFD API,Weather,27,
Numbers API,Reference,24,
Schoology API,Education,41,
Food2u API,Food,50,
Healthfinder.gov API,Government,10,
GeoAdmin API,Mapping,12,
Grove.io API,hat,12,
Infogroup Infoconnect API,Database,8,
Coderwall Profile API,Social,5,
AppHarbor API,Applications,4,
PubNub API,Messaging,35,
Health 2.0 API,Medical,49,
National Weather Service NDFD API,Weather,27,
Numbers API,Reference,24,
Schoology API,Education,41,
Food2u API,Food,50,
Healthfinder.gov API,Government,10,
GeoAdmin API,Mapping,12,
Grove.io API,hat,12,
Infogroup Infoconnect API,Database,8,
Coderwall Profile API,Social,5,
AppHarbor API,Applications,4,
PubNub API,Messaging,35,
Health 2.0 API,Medical,49,
National Weather Service NDFD API,Weather,27,
Numbers API,Reference,24,
Schoology API,Education,41,
Food2u API,Food,50,
Scalarium API,loud,2,
Bing Traffic API,Travel,66,
Oracle CRM On Demand API,Enterprise,8,
ShareFile API,File Sharing,172,
Hetzner API,Hosting,14,
SinglePlatform API,Food,63,
Metro Transit NexTrip API,Transportation,12,
EPA Watershed Summary API,Science,7,
AwardWallet Email Parsing API,Travel,12,
Yahoo Content Analysis API,Tools,27,
CKAN Norway API,Government,5,
CKAN Czech Republic API,Government,3,
Scalarium API,loud,2,
Bing Traffic API,Travel,66,
Oracle CRM On Demand API,Enterprise,8,
ShareFile API,File Sharing,172,
Hetzner API,Hosting,14,
SinglePlatform API,Food,63,
Metro Transit NexTrip API,Transportation,12,
EPA Watershed Summary API,Science,7,
AwardWallet Email Parsing API,Travel,12,
Yahoo Content Analysis API,Tools,27,
CKAN Norway API,Government,5,
CKAN Czech Republic API,Government,3,
Scalarium API,loud,2,
Bing Traffic API,Travel,66,
Oracle CRM On Demand API,Enterprise,8,
ShareFile API,File Sharing,172,
Hetzner API,Hosting,14,
SinglePlatform API,Food,63,
Metro Transit NexTrip API,Transportation,12,
EPA Watershed Summary API,Science,7,
AwardWallet Email Parsing API,Travel,12,
Yahoo Content Analysis API,Tools,27,
CKAN Norway API,Government,5,
CKAN Czech Republic API,Government,3,
NOAA ERDDAP API,Science,11,
WhoAPI API,Domains,11,
Sina Weibo API,Social,44,
Mailjet API,Email,12,
fanart.tv Music API,Music,3,
ServiceM8 API,Enterprise,4,
PeekYou Social Analytics API,Social,40,
Moonshadow Mobile API,Reference,8,
TimeZoneDb API,Reference,16,
City of Chicago Data Portal API,Government,14,
Infobip API,Messaging,20,
deviantART API,Social,28,
NOAA ERDDAP API,Science,11,
WhoAPI API,Domains,11,
Sina Weibo API,Social,44,
Mailjet API,Email,12,
fanart.tv Music API,Music,3,
ServiceM8 API,Enterprise,4,
PeekYou Social Analytics API,Social,40,
Moonshadow Mobile API,Reference,8,
TimeZoneDb API,Reference,16,
City of Chicago Data Portal API,Government,14,
Infobip API,Messaging,20,
deviantART API,Social,28,
NOAA ERDDAP API,Science,11,
WhoAPI API,Domains,11,
Sina Weibo API,Social,44,
Mailjet API,Email,12,
fanart.tv Music API,Music,3,
ServiceM8 API,Enterprise,4,
PeekYou Social Analytics API,Social,40,
Moonshadow Mobile API,Reference,8,
TimeZoneDb API,Reference,16,
City of Chicago Data Portal API,Government,14,
Infobip API,Messaging,20,
deviantART API,Social,28,
Oxford English Dictionary API,Dictionary,280,
Parse API,Backend,48,
eBay Merchandising API,mmerce,16,
OpenStack API,Storage,16,
Travel IQ API,Travel,15,
Metro Realtime API,Transportation,15,
Wiki-Data API,Reference,17,
Sensis Business Search API,Reference,10,
Beatport API,Music,83,
NASDAQ Data-On-Demand API,Financial,266,
Rackspace Cloud Servers API,loud,6,
Urban Mapping Neighborhoods API,Mapping,11,
Oxford English Dictionary API,Dictionary,280,
Parse API,Backend,48,
eBay Merchandising API,mmerce,16,
OpenStack API,Storage,16,
Travel IQ API,Travel,15,
